,comment
0,"Мне вот интересно, почему чтобы расстрелять невиновного человека, вообще никаких доказательств не потребовалось, а чтобы серийного убийцу посадить, у них вечно улик не хватало  ️"
1,"Ужасно больно, зло и невыносимо знать, что в этом деле маньяк не только Чикатило, но ещё и те люди, которые ради закрытия дела были готовы недееспособных и невиновных довести до того, что они были готовы подписать всё, что угодно. Кошмар, ужас и позор! Сколько же, на самом деле, невинных загубленных, жизней?!"
2,"Не зря первое дело назвали дело Дураков. Только дураками были не больные люди, а тупые мусора."
3,"Это кем надо быть, чтобы отпустить человека, с верёвкой ножом и вазелином в сумке ️️️️️"
4,"Люди! Когда видите, что какой-то дяденька или какая-то тетенька уговаривают ребенка или подростка пойти с ними, НЕ ОСТАВАЙТЕСЬ БЕЗУЧАСТНЫМИ!!! Сколько жизней можно было бы спасти!!!"
5,"Больше всего меня поражают взрослые, которые видели, как деток уговаривает пойти с ним посторонний дядька и не подошли и не остановили это. Уважаемые взрослые, пожалуйста, не будьте равнодушными!"
6,"Больше всего потрясло то, что неоднократно были свидетели, которые видели и даже слышали, как убийца уговаривал и уводил жертв, и никто, НИКТО из них не вмешался! Они""наблюдали"" . Нет слов..."
7,"Я живу в соседнем доме, где раньше жил чикатило. Часто заходил в гости к бабушке. Дружили семьями, вместе работали. Она говорит, что никогда бы на него не подумала - интеллигентный, тихий мужчина. Сидели каждые выходные на кухне, чай пили, обсуждали в том числе убийства и пропажу ее подруги. А он молча поддакивал. Вот так живешь рядом с самым известным маньяком и понятия не имеешь, что это он.."
8,светлая память невинно убиенным жертвам :(
9,"Не смогла сдержать слёз на моменте мамы и связанных носочков для сына, которого расстреляли.. Какая же ужасная история, которая унесла и покалечила столько жизней.."
10,"Расстрелять невинного, заставить других признавать вину чужого человека, проходить мимо детей , которые спокойно уходят с чужими людьми , оставить маньяка на свободе - это потому что люди работали не ради чего -то благополучного для мира , а для своих наград …"
11,"""я ему носочки связала. хотела послать ему, но он не пишет."""
12,"Мечта сбылась, Саша открыла свой канал"
13,"Спасибо за выпуск! Интересно было бы посмотреть про ""Витебского душителя"" Михасевича. По его делу были невинно осуждены 14 человек, одного также невинно расстреляли. Там тоже очень много убийств и занимательная предыстория сего дела... "
14,"Исса Магометович Костоев — легенда, настоящий профессионал своего дела, образец умного и порядочного следователя!"
15,"Саша, вы настоящая звезда! Такого уровня трансляции, просто невозможно найти где либо, включая телевидение. Без конца восхищаюсь вами. Спасибо за Ваш талант."
16,"Радует, что Саша ушла с лейблсмарта и можно продолжать смотреть её прекрасные видео на ютубе, а не в вк)"
17,"Очень нравится, что Вы рассказываете о делах не со стороны преступника и его жизни, а со стороны следствия и людей, которые эти дела раскрывают. Например, мы все знаем имя Чикатило, но кто из нас знает про Бухановского и Костоева? "
18,"Меня поражает, что свидетели, которые видели как посторонний мужчина зазывает с собой ребенка не предприняли никаких действий…Саша, великолепная работа! Уже 2 неделю без перерывов смотрю видео и подкасты!🩷"
19,"Казалось бы, уже всеми избитая тема , но в 2023г Сулим всё-таки удалось передать ее по новому иначе! "
20,"Это не история про Андрея Чикатило, это история про то, как ведутся расследования. Это приговор системе. Наказание должны понести и другие участники этого дела."
21,"А меня поразило как минимум 2 случая который рассказал следователь, что люди давали показания, что видели как чикатило уговаривал детей с ним пойти, видели и слышали это, но почему они его не остановили?! Что за халатность?! Самое ужасное это равнодушие… если бы они к нему обратились, как то могли его припугнуть, спугнуть своим вниманием… и жертв могло быть меньше…"
