,comment
0,"Как здорово, что вы приглашаете для комментариев людей, непосредственно связанных с делом, психиатров, криминалистов, врачей, следователей, это максимально дополняет картину, нежели обычный подкаст"
1,"Какая радость, что, не успев расстроиться из-за Вашего ухода из подкаста ""Дела"", я узнала о том, что Вы открываете собственную лавку историй!"
2,"У нас соседка была. Ее изнасиловали и она сошла с ума. Родила сына и жила с матерью. Сыну было лет 25…. Когда его мать выбросилась из окна. Она была добрая…. Прекрасно помню ее, никакого вреда не было от нее, но крыша уехала((( "
3,"15 лет за две детские жизни с пытками и расчлененкой , и 4.5 за соучастие в этом аду.   Судья , ты как там вобще ?"
4,конечно интересно как следователь говорит об изнасиловании девушки в прошлом. «это её никак не травмировало» — между мужчинами и женщинами пропасть в понимании таких вещей
5,"15 лет за убийство двух девочек и по 4 за соучастие (сожжение и расчленение) - супер справедливо в кавычках Детдомовские дети вообще никак не защищены получается, делай с ними, что хочешь - максимум 15 лет получишь"
6,"Помню, как 84-летняя родная сестра прабабушки после новости о том убийстве парня на Варшавке (я рядом с ""Шаломом"" жил) в ужасе поехала с другого конца Москвы узнать, жив ли я (а на мобильник она не умела звонить)."
7,"Жутко слушать, насколько люди не понимают травматичность изнасилования, и на сколько сильно это влияет на любую психику."
8,"Круто, что Саша продолжает ""дела"" уже в своих собственных выпусках. Но больше нравилось, когда Саша повествовала своими словами, а не зачитывая текст с типичной ""журналистской интонацией"". В любом случае, огромное спасибо, Саша, за Ваш труд!"
9,"....с 23 лет я работала в разных подразделениях МВД.....фмс,гибдд.....иц.....непосредственно сталкиваясь с глубоким изучением УД....ведя статистический учёт  просто голова кругом...первые месяцы я просто рыдала. В обед, после работы....приходилось задерживаться.....особенно кошмарило от трагедий с детьми....."
10,Всего 15 лет дали Оклей за издательства и убийства двоих детей! Пожизненное за такое нужно давать!
11,"Ещё не начала смотреть, но уже хочу поддержать и сказать спасибо за то что решили приглашать следователей и психологов! Саша Сулим + эксперты = идеальная формула тру крайма"
12,"Возможно ответ нужно искать не только в самом изнасиловании, но и в том, как оно произошло. У сильной, спортивной девушки мог подсознательно сформироваться комплекс вины за то, что она допустила ситуацию, в которой была лишена возможности сопротивляться; будь она в сознании, она бы справилась, отбилась от насильника. Как следствие - навязчивая идея проверить свою способность противостоять мужчинам, доминировать над ними физически. Первая, ""удачная"" попытка, вызвала яркие положительные эмоции/эйфорию и спровоцировала маниакальную потребность самоутверждаться подобным способом."
13,"Зачем вы опять пригласили этого эксперта?! Он в выпуске ""я убила"" прямым текстом оправдывал домашнее насилие, направленное против женшин тем, что женщины провоцируют мужчин."
14,"Я уже видела этого следователя в видео Редакции- ""Почему женщины убивают?"". Я бы не хотела попасть к такому следователю, ибо он мизогинист,  и этим все сказано) Как изнасилование может быть не особо травмирующим фактом?)"
15,"Мою знакомую изнасиловали 5 парней ,она была девочка. Прошло 20 лет она это помнит как будто вчера было. Часто плачет. Так жалко мне её. Это очень влияет на психику"
16,"Стажёра, который случайно увидел каплю крови на кроссовке,затем выследил эту амазонку,нужно было сразу следователем назначить. Вот с него будет толк"
17,"Очень в русском сигменте ютуба не хватает качественного трукрайма, который бы не просто рассказывал страшилки, а показывал расследования и разбирал возможные причины произошедших трагедий. Давно надеялась увидеть Вас на собственном канале с таким контентом. Всех успехов Вам и вашей команде, буду ждать новых видео!)"
18,"Что-то не сходится у следователей: ""Да не было никаких предпосылок, нормальная девушка"". Факты: у девушки психическое расстройство+её изнасиловали..."
19,"невероятно колоссальная работа проделана в данном ролике, удивлена, что здесь нет аудитории как минимум от миллиона"
20,"Я в ужасе какие маленькие сроки дали семье Оклей  когда смотришь Американские тру краймы, там по 40-50 лет дают за такие преступления"
21,"следователь рассказывает какую то историю, которая ему самому нравится, и, действительно , звучит красиво: «нарезает круги вокруг жертвы, как акула», «охотница, амазонка», «как хищный зверь получает удовольствие от убийства», «благодаря убийствам впервые почувствовала себя настоящей женщиной». но никаких доказательств , никаких подтверждающих фактов не приводит, только фразы типа «я это понял, потому что много времени с ней провел». Когда мозг улавливает, что из разрозненных фактов можно выстроить какой то складный, тем более красивый, нарратив, он это с удовольствием делает, а все факты, идеи и детали, которые в этот нарратив не вписываются, он отметает как незначительные или сомнительные. так он устроен. А факты, получается, такие: девушка росла во враждебной абьюзивной среде (отец бил мать, - как часто, бил ли кого-то ещё, следствие, к сожалению, не посчитало важным уточнить или упомянуть; вместо того, что бы пр о человечески попытаться понять что дочкой происходит, родители  сразу обращались в психушку (это дополнительно страшно ещё и потому, что принудительная психушка и тогда и сейчас это концлагерь, и вряд ли родители думали, что в санаторий ребенка отправить пытаются). Девушка подвергалась сексуализированному насилию от мужчины. (следователь очень удобно для своего нарратива посчитал что по тому как девушка рассказывала про свое изнасилование, можно сделать вывод, что на нее это не очень повлияло ). Девушке было настолько плохо, что у нее манифестировалось психическое заболевание - не смотря на это, вместо поддержки от семьи, девушка получала психологическое насилие (стыжение за  ее образ жизни). Как я поняла, она даже фармакотерапию не получала, несмотря на диагностированное заболевание?? Есть стойкое ощущение, что разобрались в истории плохо (в первую очередь следствие)"
22,"Меня поражает какое-то странное отношение к Марии в семье: родители видят проблемы у нее с психикой, грозили, что отдадут ее в психушку, но ничего не предпринимали, чтобы ей помочь(("
23,"За соучастие в убийстве и избиении детей 4 года, а за смену ценников в магазине 7 лет"
24,"Насилие порождает насилие. Обиднее всего, что когда оно выплескивается, то всегда не на тех, кто его причинил, а на других, невиновных. Таким образом, как чумой, все больше людей не просто становятся заражены насилием, а еще и потребностью его передать. Получается, что то типа страшной истории про вампиров. Каждый передает  зло следующему и очень редко тому, от кого получил. Это очень горько."
25,"Меня конечно поразило, как следователь сказал о том, что на нее никак не повлияло то, как отец побил мать и как ее изнасиловали… может она пыталась создать защитный барьер от этих воспоминаний и об этих событиях рассказывала так, будто они ее не колышат, но в любом случае психологиечская травма-есть травма…"
26,"Какие же мерзкие все эти люди ,надеюсь каждый получит такой же бумеранг."
27,"Как можно убийце детей-дать 4 года? Я в шоке!! Как можно давать какие-то сроки и потом выпускать их? Ведь человек убивший человека и способный убивать--никогда не изменится и не станет нормальным, и самое ужасное что -он может это повторить и убить снова человека  после освобождерия."
28,"как же я расстроилась ,когда вы перестали вести ""Дела"" "
29,"Почему-то не особо обратили внимание на родителей, которые постоянно грозились отдать девочку в психушку. Не все хорошо было в этой семье - это точно. У меня есть знакомая семья, где тоже родители делали парня ненормальным, отправили его в армию (парень нежный, не армейский). После армии совсем угас, замолчал. Родители укладывали его в псих больничку, постоянно мешали встречаться с женщинами, стыдили. И этот парень убил, только не кого-то, а себя."
30,"Бедные детки.  За преступления против детей нужна только смертная казнь. Каждый день убивают детей, родители, что в головах у этих упырей?"
31,"Саша, спасибо вам большое за ваши видео. Живу в Краснодонском районе и была ещё маленькой, когда похитили девочку Настю и до сих пор не знала, что тогда произошло, спасибо вам большое, что рассказали, как всё было на самом деле!"
32,"Изнасилование,плохие отношения с родителями, такая можно сказать ""разгульная"" жизнь,выкидыш. Всё это хоть и может рассказываться как само собой разумеющееся для этой девушки. Но на самом деле каждое перечисленное ранее событие внесло свой вклад в то,что впоследствии она начала убивать,но не без разбора,а именно мужчин. Отец,который также избил ее мать. Говоря о разгульной жизни можем понять,какие мужики ее окружали,явно не те люди. Кто-то может быть с этим не согласен, но я вижу в её действиях месть к мужскому полу. Я её ни в коем случае не оправдываю,но говорить что эти события никак не отразились в её действиях невозможно."
33,А я вот осталась в шоке от истории Оклей. Какими же мерзкими людьми надо быть… А родителям еще и дали такие маленькие сроки(
34,"просто нереально интересная история и услышать из первых уст оперативника было просто шикарно и ооочень круто! спасибо за этот выпуск, один из лучших что я посмотрела (считая англоязычный тру крайм тоже)"
35,Новый уровень подхода к истории. Поражает до глубины. Спасибо вам за этот проект.
36,Очень жутко слушать про пытки невинных детей приемными мучителями
37,"4 года за соучастие в убийствах и похищение детей. какая справедливая у нас судебная система. самой убийце за двух детей дали 15 лет. ОООО, вот это, я понимаю, справедливость!!!"
38,"Спасибо большое за выпуск! Было потрясающе интересно слушать и смотреть. Очень благодарна Вам за то, что приглашаете экспертов, а также за прекрасную подачу материала и стильное оформление... Я влюбилась в Ваш канал"
39,"За убийства детей этой мрази дали всего 15 лет, а не пожизненное..? Я в шоке! Что ща Суд такой? "
40,"Дмитрий как-будто ошибается. Скорее всего девушка мстила за все обиды и насилие, когда она чувствовала себя беспомощной. Ее психика сублимировала возврат чувства собственного достоинства таким ужасным образом."
41,"Саша! Как же я рад Вашему возвращению! Желаю процветания Вашему каналу, адекватной аудитории!"
42,"Господи, слушаю про Оклей и плачу."
43,Почему в нашей стране такие маленькие сроки за убийства - это ужасает
44,"Саша, какую ценную и уникальную информацию вы даете, какая большая работа проведена! Теперь на это дело я смотрю совершенно другими глазами. Спасибо за ваш труд "
45,как же классно слушать когда никто не перебивает и не портит повествование неуместными шутками поздравляю с миллионом просмотров меньше чем за сутки
46,"То, что ""охотница"" носила нож в кармане - это так себе улика. Кровь на кроссовке - тоже(даже следователь об этом сказал). То, что она испугалась, когда за ней в подъезд два мужика вломились - пардон - описаться можно. "
47,"Меня Миронов тревожит, так об убийце рассказывает.. Прям мужик-фанаточка:Женщина, амазонка, хищница"
48,"Из-за большого количества историй забываешь про основную. А те, что были рассказано вскользь, такие интересные, что заслуживают отдельного выпуска. "
49,"Почему следователь так старательно нормализует все,что происходило в жизни убийцы: игнорирует психушку, избиение матери, изнасилование ""не такой травмирующий опыт"". Оторопь берет от его слов!"
50,Спасибо за выпуск! Всё чётко и по делу. Интересно и максимально деликатно.
51,"Мне нравится, как говорят об идее фильма. Мужчина не видит в ней убийцу, а жертву, но она убийца! Она убивала не своих насильников, не тех, кто её домогался, не родителей, которые морально душили её, а обычных людей, ни в чем не повинных."
52,"Страшно. И страшно интересно. Про женщин-маньяков не так много известно. Спасибо большое за выпуск, Саша и команда!"
53,"очень радостно видеть, что Саша сделала свой канал и продолжает рассказывать тру крайм в комфортном для нее формате на комфортной площадке! с огромным удовольствием подписываюсь и буду следить за новыми выпусками!!"
54,Ну совсем уже дядя-опер погнал. Становилась женщиной через это️да она просто мстила всем мужикам. Самая обычная ненависть к мужскому полу
